airport_ident,le_ident,le_lat,le_lon,le_heading_deg,he_ident,he_lat,he_lon,he_heading_deg,length_ft,width_ft,surface,closed
66AR,18,,,,36,,,,2194,60,Turf,0
66AZ,H1,,,,,,,,40,40,CONC,0
66B,16,,,,34,,,,1635,50,TURF-F,0
66CA,01,,,,19,,,,1800,65,DIRT,0
66CN,H1,,,,,,,,100,100,ASPH,0
66CO,H1,,,,,,,,15,15,CONC-G,0
66FA,H1,,,,,,,,45,45,CON,0
66FD,09,,,,27,,,,1340,60,TURF,0
66G,09,43.3139,-83.7144,,27,43.3139,-83.705,,2530,100,TURF-G,0
66GA,09,,,,27,,,,1700,60,TURF,0
66II,18,,,,36,,,,2000,90,TURF,0
66IL,12,,,,30,,,,2050,100,TURF,0
66IN,18,,,,36,,,,1025,75,TURF-G,0
66KY,10,,,,28,,,,2400,150,TURF,0
66LA,09,,,,27,,,,1600,80,TURF,0
66MA,H1,,,,,,,,40,40,GRS,0
66MI,17,,,,35,,,246.0,2200,60,TURF,0
66MN,09,,,,27,,,,2500,100,TURF,0
66MO,18,,,,36,,,,900,75,TURF,0
66NC,10,,,,28,,,,2800,70,TURF,0
66NJ,H1,,,,,,,,150,150,TURF,0
66NY,18,,,,36,,,,2800,60,TURF,0
66OI,16,,,,34,,,,3000,100,TURF,0
66OK,07,,,,25,,,,2000,40,TURF,0
66PA,H1,,,,,,,,50,50,CONC,0
66S,15,48.5228,-116.823,,33,48.5145,-116.821,,3100,120,TURF-G,0
66TA,H1,,,,,,,,50,50,CONC,0
66TE,17,,,,35,,,,3100,50,ASPH-TRTD-G,0
66TN,09,35.5239,-85.8509,,27,35.5229,-85.842,,2679,50,GRS,0
66TS,H1,,,,,,,,50,50,CONC,0
66TX,15,,,,33,,,,3366,32,ASPH,0
66VA,H1,,,,,,,,60,60,ASPH,0
66VT,2,,,,20,,,,1100,60,Turf,0
66WA,07,,,,25,,,,1800,60,TURF,0
66WI,N,,,,S,,,,1150,200,TURF,0
66XS,13,,,,31,,,,2200,50,TURF-F,0
67AK,E,,,,W,,,,2640,240,GRVL,0
67AR,17,,,,35,,,,3100,50,TURF,0
67CA,09,37.0738,-120.383,105.0,27,37.0717,-120.373,,3000,20,ASPH,0
67CL,N,,,,S,,,,2000,75,GRAVEL,0
67CN,H1,,,,,,,325.7,114,50,ASPH-CONC,0
67CO,17,,,,35,,,,1400,75,TURF,0
67D,18,41.1622,-82.2017,,36,41.1579,-82.2015,,2850,100,TURF-G,0
67FA,H1,,,,,,,,54,54,CON,0
67FD,H1,,,,,,,,40,40,CONC,0
67FD,H2,,,,,,,,40,40,CON,0
67FL,18,,,,36,,,,3400,130,TURF,0
67GA,06,,,,24,,,,2300,50,TURF,0
67II,18,,,,36,,,,1800,80,TURF,0
67IL,18,,,,36,,,,2000,75,TURF,0
67IS,H1,,,,,,,,30,30,CONC,0
67KS,18,,,,36,,,,2240,70,DIRT,0
67LA,H1,,,,,,,,20,20,Wood,0
67MD,1,,,,19,,,,1800,60,Turf,0
67ME,H1,,,,,,,245.0,300,300,TURF,0
67MN,NW,,,,SE,,,,2700,90,TURF,0
67MO,18,,,,36,,,,2640,100,TURF,0
67MU,10,39.4545,-91.4007,95.0,28,39.4538,-91.3911,275.0,2710,100,Turf,0
67NC,18,,,,36,,,,3000,100,Turf,0
67ND,08,,,,26,,,,2600,66,TURF,0
67NE,17,,,,35,,,,2765,93,TURF,0
67NJ,06,,,,24,,,,2500,50,TURF,0
67OG,10,,,,28,,,310.0,1500,60,TURF,0
67OI,H1,,,,,,,,30,30,CONC,0
67OK,09,,,,27,,,,1000,75,TURF,0
67OR,16,,,,34,,,,1960,90,TURF,0
67PA,H1,,,,,,,,60,60,TURF,0
67PN,10,,,,28,,,,2100,75,TURF-G,0
67S,14,,,,32,,,,4400,175,TURF-GRVL-F,0
67SC,12,32.9497,-80.7706,,30,32.9475,-80.7644,,2042,100,Turf,0
67TE,01,,,,19,,,,2400,100,TURF,0
67TS,H1,,,,,,,,50,14,TURF,0
67TT,2,,,,20,,,,3900,50,Turf,0
67TX,16,,,,34,,,,3164,30,CONC-G,0
67WA,9,,,,27,,,,2000,25,TURF,0
67WI,18,,,,36,,,,2600,80,TURF,0
67XA,9,,,,27,,,,1400,150,Turf,0
67XS,H1,,,,,,,,80,80,ASPH,0
68AK,H1,,,,,,,,20,20,WOOD,0
68AR,17,,,,35,,,,1200,45,Turf,0
68AZ,03,,,,21,,,,3000,50,DIRT,0
68AZ,17,,,,35,,,,1850,50,DIRT,0
68C,04,44.503,-89.0293,,22,44.5072,-89.0217,,2530,60,TURF-F,0
68C,09,44.5044,-89.0291,,27,44.5044,-89.0223,,1783,40,TURF-F,0
68C,13,44.506,-89.028,,31,44.5038,-89.0221,,1745,130,TURF-F,0
68CA,15,40.3651,-122.217,166.5,33,40.3571,-122.215,,3000,75,ASPH-F,0
68CN,09,,,,27,,,,2600,150,DIRT,0
68FA,H1,,,,-,,,,40,40,CON,0
68FD,09,,,,27,,,,5280,50,TURF,0
68GA,H1,,,,,,,,40,40,TURF,0
68ID,02,,,,20,,,,780,30,TURF,0
68II,H1,,,,,,,,30,40,CONC,0
68IN,09,,,,27,,,,1200,50,TURF,0
68IS,09,42.1486,-88.5675,90.0,27,42.1486,-88.5564,,2998,50,ASPH,0
68LA,13,,,,31,,,,3000,70,TURF,0
68LS,13,31.8169,-91.3732,,31,31.8144,-91.37,,1300,60,Turf,0
68LS,18,31.8184,-91.3703,,36,31.8111,-91.3703,,2500,80,Turf/Dirt,0
68MO,H1,,,,,,,,100,75,ASPH,0
68NC,14,,,,32,,,,2150,150,TURF,0
68NE,02,,,,20,,,,1700,60,TURF,0
68NJ,H1,,,,,,,,75,75,ASPH,0
68NM,13,,,,31,,,,2700,60,DIRT,0
68NR,H1,,,,,,,,47,47,CON,0
68NY,10,,,,28,,,,2000,55,TURF,0
68OI,H1,,,,,,,,40,40,ASPH,0
68OK,H1,,,,,,,,60,60,ASPH,0
68PA,09,,,,27,,,,1800,100,TURF,0
68PN,10,,,,28,,,,2250,100,Turf,0
68PS,H1,,,,,,,,30,30,Turf/Gravel,0
68R,09,,,,27,,,261.0,2580,100,TURF-F,0
68TE,17,,,,35,,,,2630,100,TURF,0
68TS,2,,,,20,,,,4600,31,ASP,0
68TT,H1,,,,,,,,100,100,CON,0
68VA,H1,,,,,,,,48,48,CONC-G,0
68WA,07,,,,25,,,228.8,2000,50,TURF,0
68WI,H1,,,,,,,226.0,56,56,ASPH,0
68Y,17,43.7453,-93.7774,,35,43.7374,-93.7772,,2897,165,TURF-G,0
69AZ,H1,,,,,,,,50,50,CONC,0
69CA,H1,,,,,,,,60,60,CONC,0
69CL,18,,,,36,,,,2600,50,ASPH,0
69CO,H1,,,,,,,261.2,87,71,CONC-G,0
69CT,H1,,,,,,,208.0,60,8,TURF,0
69FA,H1,,,,H1,,,,100,100,Turf,0
69FD,10,,,,28,,,332.6,1965,50,TURF-G,0
69FL,H1,,,,,,,,85,85,CON,0
69G,18,42.4455,-84.0645,,36,42.4387,-84.0642,202.0,2471,100,TURF-G,0
69GA,H1,,,,,,,202.0,180,180,TURF,0
69IL,18,,,,36,,,,2600,145,TURF,0
69KS,01,,,,19,,,,2600,80,TURF-G,0
69LL,09,,,,27,,,,2275,90,TURF,0
69MA,H1,,,,,,,,36,36,CON,0
69MN,N,,,,S,,,,2500,50,TURF,0
69MT,1,,,,19,,,,2949,60,Turf,0
69MU,18,39.7664,-94.6274,,36,39.7621,-94.6274,,1568,60,Turf,0
69MY,09,,,,27,,,,2600,80,TURF,0
69N,01,40.7602,-75.6049,1.0,19,40.767,-75.6048,181.0,2455,50,ASPH-G,0
69NC,08,,,,26,,,,2200,120,TURF,0
69ND,N,,,,S,,,,1500,40,TURF,0
69NJ,H1,,,,,,,,100,100,Turf,0
69NY,H1,,,,,,,,100,100,ASPH,0
69OI,18,,,,36,,,,2400,60,TURF,0
69OK,06,,,,24,,,,2100,50,TURF,0
69OR,18,,,,36,,,,800,45,TURF,0
69PA,08,,,,26,,,,1165,95,TURF,0
69S,17,49.0011,-118.222,185.0,35,48.9957,-118.223,5.0,1975,40,GRVL-F,0
69TA,17,,,,35,,,,2400,50,TURF-DIRT,0
69TE,4,,,,22,,,,2000,75,TURF,1
69TS,12,,,,30,,,,1500,100,TURF,0
69TX,14,28.5883,-96.8589,140.0,32,28.5789,-96.85,,3898,40,ASPH,0
69XA,17,,,,35,,,,2400,40,TURF,0
69XS,18,,,,36,,,,2800,30,TURF,0
6A5,17,,,,35,,,,2550,150,CONC-TURF-G,0
6A6,13,43.759,-98.9831,,31,43.7526,-98.9759,,2600,250,TURF-G,0
6AK,11,,,,29,,,,2100,25,DIRT-P,0
6AK1,16,,,,34,,,,2000,75,GRAVEL,0
6AK2,06,,,,24,,,,1600,60,GRAVEL,0
6AK3,15,,,,33,,,,1900,50,GRAVEL,0
6AK5,12,,,,30,,,,900,50,GRAVEL,0
6AK5,18,,,,36,,,207.8,2000,60,GRAVEL,0
6AK7,11,,,,29,,,,2000,65,TURF,0
6AK8,18,,,,36,,,,1200,100,TURF,0
6AK9,04,,,,22,,,,1320,100,GRVL,0
6AL0,9,,,,27,,,,1800,60,Turf,0
6AL5,9A,,,,27D,,,,4000,60,ASP,0
6AL6,10,,,,28,,,,2500,150,TURF,0
6AL8,H1,,,,H1,,,,40,40,CON,0
6AR0,07,,,,25,,,,2500,60,TURF,0
6AR1,12,,,,30,,,,1200,100,TURF,0
6AR3,H1,,,,,,,,60,60,CONC,0
6AR4,H1,,,,,,,234.0,40,40,CONC,0
6AR7,H1,,,,,,,,40,40,CONC-G,0
6AR8,09,35.3302,-94.0443,97.1,27,35.3298,-94.0396,277.1,1400,75,GRE,0
6AR8,18,35.3334,-94.0415,185.8,36,35.3266,-94.0424,5.8,2500,85,GRE,0
6AR9,09,36.4155,-92.6995,92.1,27,36.4151,-92.6894,202.7,3000,150,TURF,0
6AZ0,H1,,,,,,,,68,68,CONC,0
6AZ2,09,,,,27,,,,3400,80,DIRT,0
6AZ2,18,,,,36,,,,5000,80,DIRT,0
6AZ6,H1,,,,,,,212.0,40,40,CONC,0
6AZ7,H1,,,,,,,344.0,175,60,TURF,0
6AZ8,07,,,,25,,,,2650,35,ASPH,0
6B0,01,,,,19,,,,3206,60,ASPH-G,0
6B4,13,,,,31,,,199.0,2750,60,ASPH-F,0
6B6,03,42.4576,-71.5201,17.0,21,42.4648,-71.5172,197.0,3110,48,ASPH-F,0
6B6,12,42.4595,-71.519,,30,42.4584,-71.514,,1600,40,TURF-GRVL-F,0
6C0,18,42.3341,-93.1143,180.0,36,42.3258,-93.1143,360.0,2995,100,TURF-G,0
6C2,09,,,,27,,,353.0,3112,150,TURF-G,0
6CA0,H1,,,,,,,234.4,50,50,ASPH,0
6CA1,15,,,,33,,,,2300,40,TURF,0
6CA2,H1,,,,,,,,65,65,CONC,0
6CA3,H1,,,,,,,,150,100,ASPH,0
6CA4,H1,,,,,,,,45,45,CONC,0
6CA5,09,,,,27,,,,2800,40,TRTD-DIRT,0
6CA5,18,,,,36,,,208.0,3000,60,TRTD-DIRT,0
6CA6,08,,,,26,,,,4000,33,ASPH-GRVL,0
6CA8,01,,,,19,,,,1800,90,DIRT,0
6CA9,H1,,,,,,,,82,65,CONC,0
6CL2,H1,,,,,,,352.6,25,25,TURF,0
6CL3,H1,,,,,,,,40,40,CONC,0
6CL4,15,,,,33,,,,1100,75,TURF,0
6CL5,H1,,,,,,,239.0,75,75,TURF,0
6CL7,H1,,,,,,,,35,30,CONC,0
6CL8,09,,,,27,,,212.4,1700,30,GRVL,0
6CO0,08,,,,26,,,,6750,110,DIRT-TURF-F,0
6CO1,08,,,,26,,,,4000,100,TURF,0
6CO2,16,,,,34,,,,2400,40,TURF-F,0
6CO4,09,,,,27,,,,610,12,ASPH-TURF-G,0
6CO6,07,,,,25,,,194.0,2600,35,TURF,0
6CO7,H1,,,,,,,178.0,25,25,TURF,0
6CO8,H1,,,,,,,1.0,60,60,ASPH,0
6CO9,H1,,,,,,,229.0,65,55,ASPH,0
6D3,12,47.9833,-99.5323,130.0,30,47.9776,-99.5224,310.0,3000,50,TURF-G,0
6D7,05,41.217,-83.8783,,23,41.2201,-83.8734,264.0,1725,60,TURF-G,0
6D7,09,41.2155,-83.8776,,27,41.2155,-83.8686,230.8,2480,70,TURF-G,0
6F1,01,34.7031,-95.0755,19.0,19,34.7119,-95.0722,199.0,3300,60,ASPH-G,0
6F7,02,,,,20,,,,1845,100,TURF-G,0
6F7,07,,,,25,,,,3600,100,TURF-G,0
6F7,12,,,,30,,,,5000,80,TURF-G,0
6FA3,H1,,,,,,,,50,50,CON,0
6FD0,09,,,,27,,,,2600,100,TURF,0
6FD1,H1,,,,,,,,35,30,CONC,0
6FD2,17,,,,35,,,,2800,120,TURF,0
6FD4,H1,,,,,,,,100,75,TURF,0
6FD5,10,,,,28,,,202.0,3000,80,TURF-F,0
6FD6,17,,,,35,,,,2500,50,TURF,0
6FD7,02,,,,20,,,,2750,105,TURF,0
6FD8,H1,,,,,,,,60,60,CONC,0
6FL0,18,,,,36,,,234.0,3000,200,TURF-G,0
6FL1,H1,,,,,,,,40,40,CONC,0
6FL3,01,26.9319,-81.5681,10.0,19,26.9427,-81.566,,4000,50,ASPH,0
6FL4,09,,,,27,,,,1800,200,TURF,0
6FL5,H1,,,,,,,,30,30,CONC,0
6FL6,H1,,,,,,,,65,65,CONC,0
6FL7,H1,,,,,,,,465,160,TURF,0
6FL8,18,29.5911,-82.8713,,36,29.584,-82.8712,327.0,2600,75,TURF-G,0
6FL9,18,,,,36,,,,2200,50,TURF,0
6G6,04,,,,22,,,,2750,100,TURF-G,0
6G8,01,42.0913,-84.2417,,19,42.0988,-84.2399,,2829,100,TURF-G,0
6GA0,15,,,,33,,,,2500,100,TURF,0
6GA1,18,,,,36,,,,2200,100,TURF,0
6GA2,H1,,,,,,,,100,150,CONC,0
6GA3,H1,,,,,,,,50,50,CONC,0
6GA4,06,,,,24,,,,3000,100,TURF,0
6GA5,01,,,,19,,,,2000,100,TURF,0
6GA6,H1,,,,,,,,50,50,CONC,0
6GA7,H1,,,,,,,,60,60,TURF,0
6GA8,15,,,,33,,,,2200,40,TURF,0
6GE2,18,,,,36,,,301.0,1800,60,TURF,0
6GE4,13,,,,31,,,,1593,100,Turf,0
6H4,09,42.1559,-84.3382,94.0,27,42.1556,-84.3304,274.0,2105,55,TURF-F,0
6H8,17,46.4874,-100.264,,35,46.477,-100.264,340.0,3800,100,TURF-F,0
6IA0,H1,,,,,,,,50,50,CONC,0
6IA1,H1,,,,,,,,100,100,ASPH,0
6IA2,H1,,,,,,,332.0,70,65,ASPH,0
6IA3,H1,,,,,,,,40,40,CONC,0
6IA4,H1,,,,,,,,36,36,CONC,0
6IA7,16,,,,34,,,,1500,100,TURF,0
6IA8,H1,,,,,,,305.0,30,30,ASPH,0
6IA9,H1,,,,,,,276.0,50,50,ASPH-CONC,0
6ID1,07,,,,25,,,,2200,40,ASPH-G,0
6II0,18,,,,36,,,295.0,2700,100,TURF,0
6II2,E,,,,W,,,,1400,167,TURF,0
6II5,H1,,,,,,,235.0,70,70,ASPH,0
6II6,N,,,,S,,,,1700,75,TURF,0
6II7,18,,,,36,,,,1800,75,TURF,0
6II8,02,,,,20,,,,2200,100,TURF,0
6IL0,N,,,,S,,,,2640,100,TURF,0
6IL1,H1,,,,,,,,40,40,CONC,0
6IL2,07,,,,25,,,227.0,2000,70,TURF,0
6IL4,17,,,,35,,,,2200,80,TURF,0
6IL5,01,,,,19,,,,1850,100,TURF,0
6IL8,H1,,,,,,,345.0,100,100,CONC,0
6IL9,14,,,,32,,,,1600,100,Turf,0
6IN2,18,,,,36,,,,2600,100,TURF,0
6IN3,09,,,,27,,,317.0,2600,80,TURF,0
6IN4,09,,,,27,,,,2400,70,TURF,0
6IN5,18,,,,36,,,,2140,60,TURF,0
6IN6,16,,,,34,,,,3000,100,TURF,0
6IN8,18,,,,36,,,341.0,1800,75,TURF,0
6IS0,09,,,,27,,,337.0,2200,100,TURF,0
6IS1,H1,,,,,,,,100,100,CONC,0
6IS2,H1,,,,,,,332.0,36,36,CONC,0
6IS4,H1,,,,,,,,44,44,CONC,0
6IS5,H1,,,,,,,,1000,350,CONC,0
6IS7,H1,,,,,,,,88,88,CONC,0
6IS8,09,,,,27,,,,2260,70,TURF,0
6IS9,H1,,,,,,,,70,70,CONC,0
6J6,11,,,,29,,,,2640,85,TURF-G,0
6J6,15,,,,33,,,,1584,56,TURF-G,0
6J8,10,29.7203,-82.6736,,28,29.7191,-82.6586,,4990,75,TURF-G,0
6J8,16,,,,34,,,270.1,2825,75,TURF-G,0
6JY8,H1,,,,,,,,80,80,CONC,0
6JY8,H2,,,,,,,,80,80,CONC,0
6K2,17,39.8157,-92.0506,,35,39.8094,-92.0499,,2300,46,TURF-G,0
6K7,17,,,,35,,,326.0,2250,60,TURF-F,0
6K9,06,,,,24,,,273.0,2275,100,TURF-F,0
6KS0,H1,,,,,,,,40,40,CONC,0
6KS2,N,,,,S,,,,2600,100,TURF,0
6KS4,14,,,,32,,,,3003,88,TURF,0
6KS8,17,,,,35,,,,2056,50,Turf,0
6KS9,H1,,,,,,,197.4,40,40,ASPH,0
6KY0,H1,,,,,,,,40,40,CON,0
6KY2,H1,,,,,,,,53,53,CON,0
6KY3,01,,,,19,,,271.0,2250,75,TURF,0
6KY4,09,,,,27,,,,1800,75,TURF,0
6KY6,04,,,,22,,,,1500,80,TURF,0
6KY8,H1,,,,,,,,40,40,CON,0
6LA0,H1,,,,,,,338.8,600,150,TURF,0
6LA1,03,,,,21,,,,3500,75,TURF,0
6LA3,H1,,,,,,,342.0,100,100,TURF,0
6LA5,18,,,,36,,,,2500,115,ASPH-TURF,0
6LA6,18,,,,36,,,,3000,75,TURF,0
6LA7,H1,,,,,,,310.0,50,40,GRAVEL,0
6LL0,N,,,,S,,,,2150,75,TURF,0
6LL2,09,,,,27,,,,1600,100,TURF,0
6LL4,18,,,,36,,,,1900,100,TURF,0
6LL5,E,,,,W,,,,2200,100,TURF,0
6LL6,N,,,,S,,,,2400,100,TURF,0
6LL7,H1,,,,,,,322.6,100,100,TURF,0
6LL9,H1,,,,,,,,20,15,CONC,0
6M8,18,35.5361,-90.4001,,36,35.5287,-90.4001,189.0,3200,60,ASPH-G,0
6MA1,H1,,,,,,,,25,25,WOOD,0
6MA2,12,,,,30,,,,2000,75,TURF,0
6MA3,HI,,,,,,,342.5,150,150,TURF,0
6MA4,H1,,,,,,,286.5,70,70,ASPH,0
6MA5,H1,,,,,,,345.0,25,25,ASPH,0
6MA6,H1,,,,,,,329.3,70,70,TURF,0
6MA7,H1,,,,,,,,32,32,CONC,0
6MD1,06,,,,24,,,304.0,1488,75,TURF,0
6MD3,E,,,,W,,,,1400,50,TURF,0
6MD4,13,,,,31,,,,2292,75,TURF,0
6MD6,H1,,,,,,,298.0,42,42,CONC,0
6MD7,10,,,,28,,,240.0,2450,65,TURF,0
6MD8,18,,,,36,,,,2750,105,TURF,0
6MD9,H1,,,,,,,,40,40,CONC,0
6MI0,06,,,,24,,,,2100,60,TURF,0
6MI1,09,,,,27,,,,1980,75,TURF,0
6MI3,03,,,,21,,,,2100,75,TURF,0
6MI4,H1,,,,,,,,20,20,CONC,0
6MI5,H1,,,,,,,350.9,90,90,CONC,0
6MI6,09,,,,27,,,,1200,50,TURF,0
6MI6,14,,,,32,,,,2000,50,TURF,0
6MI7,09,,,,27,,,,2000,75,TURF,0
6MI9,H1,,,,,,,,650,110,TURF,0
6MI9,H2,,,,,,,,550,110,TURF,0
6MN0,18,47.0606,-95.4227,182.7,36,47.0505,-95.4234,254.3,3700,130,TURF,0
6MN8,N,,,,S,,,,2600,150,TURF,0
6MN9,12,,,,30,,,,2000,75,TURF,0
6MO0,04,,,,22,,,,2200,150,TURF,0
6MO2,13,,,,31,,,,1600,90,TURF-F,0
6MO3,02,,,,20,,,,2550,100,TURF,0
6MO4,18,,,,36,,,,2340,50,TURF,0
6MO5,H1,,,,,,,,40,40,CONC,0
6MO6,E,,,,W,,,,1800,100,TURF,0
6MO7,N,,,,S,,,,2700,50,TURF,0
6MS1,09,,,,27,,,,4000,65,TURF,0
6MS1,18,,,,36,,,,2800,60,TURF,0
6MS2,09,,,,27,,,,2700,50,TURF,0
6MU4,09,,,,27,,,,2250,65,TURF,0
6MU5,1,39.3619,-93.7789,11.0,19,39.3667,-93.7777,191.0,1800,50,Turf,0
6MU6,H1,,,,,,,,50,50,CON,0
6MU8,H1,,,,,,,,30,30,ASP/CON,0
6MU9,09,,,,27,,,,2000,60,TURF,0
6MY2,H1,,,,,,,,42,42,CON,0
6N5,H1,,,,,,,,37,37,ASPH-CONC-G,0
6N5,H2,,,,,,,,44,44,ASPH-G,0
6N5,H3,,,,,,,,44,44,ASPH-G,0
6N5,H4,,,,,,,,44,44,ASPH-G,0
6NA0,08,,,,26,,,,1600,60,TURF,0
6NA0,17,,,,35,,,,2640,60,TURF,0
6NA5,13,,,,31,,,,3800,100,TURF-P,0
6NA6,08,,,,26,,,,1602,40,TURF,0
6NC0,03,,,,21,,,259.0,2800,54,TURF,0
6NC1,03,35.5881,-81.082,31.0,21,35.5952,-81.0769,234.0,3000,40,ASPH-G,0
6NC2,15,,,,33,,,,1550,100,TURF,0
6NC3,04,,,,22,,,,3000,300,TURF,0
6NC4,06,,,,24,,,,1400,40,TURF,0
6NC4,16,,,,34,,,,1200,40,TURF,0
6NC5,03,,,,21,,,,1800,75,TURF,0
6NC6,H1,,,,,,,,25,25,CONC,0
6NC7,05,,,,23,,,,3000,80,TURF,0
6NC8,06,,,,24,,,,2500,60,TURF,0
6NC9,01,,,,19,,,,3000,60,TURF,0
6NC9,13,,,,31,,,,1000,100,TURF,0
6ND2,N,,,,S,,,,3500,60,TURF,0
6ND3,N,,,,S,,,,2500,75,TURF,0
6ND3,NW,,,,SE,,,,2500,75,TURF,0
6ND6,08,,,,26,,,,2200,40,TURF,0
6ND9,11,,,,29,,,,3100,75,TURF,0
6NE0,12,,,,30,,,,3020,80,TURF,0
6NE3,18,,,,36,,,,4000,40,ASP,0
6NE7,E,,,,W,,,,2100,125,CONC-TURF,0
6NE8,15,,,,33,,,,2600,100,TURF,0
6NJ2,H1,,,,,,,,100,100,TURF,0
6NJ3,H1,,,,,,,,100,100,ASPH,0
6NJ5,H1,,,,,,,,75,75,ASPH,0
6NJ6,H1,,,,,,,,80,80,TURF,0
6NK,15,,,,33,,,,2660,43,ASPH-P,0
6NK0,02,,,,20,,,,1600,54,TURF,0
6NK2,16,,,,34,,,,2200,100,TURF,0
6NK3,H1,,,,,,,,40,40,ASPH,0
6NK4,09,,,,27,,,,1800,50,TURF,0
6NK5,H1,,,,,,,,45,45,MATS,0
6NK6,H1,,,,,,,,60,50,CONC-G,0
6NK7,H1,,,,,,,,45,45,CON,0
6NK8,09,,,,27,,,308.0,2386,418,TURF,0
6NK9,H1,,,,,,,,40,40,ASPH,0
6NR6,2,,,,20,,,,1250,60,Turf,0
6NY1,09,,,,27,,,,1700,50,TURF,0
6NY2,N,,,,S,,,,1350,75,TURF,0
6NY3,N,,,,S,,,,1600,50,TURF,0
6NY4,09,,,,27,,,239.8,2000,50,TURF,0
6NY5,H1,,,,,,,,50,50,TURF,0
6NY7,14,,,,32,,,,2600,75,TURF,0
6NY8,H1,,,,,,,,60,60,ASPH,0
6NY9,H1,,,,,,,,50,50,CONC,0
6OG3,18,,,,36,,,,3200,80,TURF-G,0
6OH0,H1,,,,,,,,40,40,CONC,0
6OH1,09,,,,27,,,,1350,50,TURF,0
6OH2,H1,,,,,,,,25,25,TURF,0
6OH4,E,,,,W,,,,1000,40,TURF,0
6OH4,N,,,,S,,,,1770,50,TURF,0
6OH5,H1,,,,,,,,60,60,TURF,0
6OH6,09,,,,27,,,,2500,50,TURF,0
6OH6,18,,,,36,,,,1575,40,TURF,0
6OH7,09,,,,27,,,,2100,50,TURF,0
6OH8,H1,,,,,,,,25,25,TURF,0
6OH9,02,,,,20,,,,2700,80,TURF,0
6OI4,H1,,,,,,,,40,25,ASPH,0
6OI5,05,,,,23,,,,2400,80,TURF,0
6OI6,H1,,,,,,,,118,110,CONC,0
6OI8,H1,,,,,,,,55,55,CONC,0
6OI9,H1,,,,,,,,75,75,TURF,0
6OK0,17,,,,35,,,,2600,100,TURF,0
6OK1,07,,,,25,,,255.7,1970,40,TURF-F,0
6OK2,17,,,,35,,,,1986,100,TURF-G,0
6OK4,H1,,,,H1,,,,48,48,CONC,0
6OK8,17,,,,35,,,358.9,2500,50,ASPH,0
6OK9,17,,,,35,,,,2670,100,TURF-G,0
6OR1,08,,,,26,,,,1600,60,TURF,0
6OR2,07,,,,25,,,348.0,2500,30,ASPH,0
6OR3,H1,,,,,,,,80,80,ASPH,0
6OR4,12,,,,30,,,219.4,1700,100,TURF,0
6OR5,H1,,,,,,,,50,50,CONC,0
6OR6,15,,,,33,,,,1100,50,TURF-DIRT,0
6OR7,07,,,,25,,,,2300,55,TURF,0
6OR9,E,,,,W,,,,2800,100,TURF,0
6P3,09,43.1787,-89.4555,,27,43.1787,-89.4471,352.0,2223,30,ASPH-F,0
6PA0,N,,,,S,,,,2500,200,TURF,0
6PA1,03,,,,21,,,,500,100,TURF,0
6PA2,H1,,,,,,,,45,45,CONC,0
6PA3,E,,,,W,,,,2273,140,TURF,0
6PA4,17,,,,35,,,270.0,2000,100,TURF-G,0
6PA5,04,,,,22,,,360.0,2400,30,ASPH,0
6PA6,N,,,,S,,,,1600,100,TURF,0
6PA8,09,,,,27,,,,1550,100,TURF,0
6PN2,H1,,,,,,,,70,70,ASPH,0
6PN3,H1,,,,,,,,106,76,ASPH,0
6PN4,H1,,,,,,,,60,60,CONC,0
6PN5,09,,,,27,,,,1300,100,TURF,0
6PN6,H1,,,,,,,,33,33,CONC,0
6PN7,H1,,,,,,,,60,60,CONC,0
6PN8,H1,,,,,,,,200,200,TURF,0
6PN9,10,,,,28,,,,2000,120,TURF,0
6PS0,H1,,,,,,,,40,40,CONC,0
6PS2,H1,,,,,,,,100,100,ASPH,0
6PS3,09,,,,27,,,,1600,100,TURF,0
6PS4,H1,,,,,,,,50,50,CONC,0
6PS5,H1,,,,,,,,40,40,ASPH,0
6PS6,H1,,,,,,,,65,65,GRVL,0
6PS8,02,,,,20,,,,1475,100,TURF,0
6PS9,H1,,,,,,,,95,95,ASPH,0
6Q0,H1,,,,,,,,27,27,CONC,0
6R1,07,30.2413,-92.8356,72.0,25,30.2437,-92.8275,252.0,2700,50,ASPH-G,0
6R1,09,30.241,-92.8332,87.0,27,30.2413,-92.8263,267.0,2200,150,TURF-G,0
6R5,03,,,,21,,,,1420,75,TURF-G,0
6R5,06,,,,24,,,,1500,80,TURF-G,0
6R5,12,,,,30,,,,830,60,TURF-G,0
6S4,07,,,,25,,,,1940,50,TURF-G,0
6S6,13,,,,31,,,,2500,60,TURF-G,0
6S9,13,,,,31,,,,2630,100,TURF-F,0
6SC1,07,,,,25,,,,2500,90,TURF,0
6SD4,12,,,,30,,,,3468,100,Turf,0
6T2,H1,,,,,,,,50,50,CONC-G,0
6TA0,01,,,,19,,,,4200,105,DIRT,0
6TA1,H1,,,,,,,,30,30,CONC,0
6TA2,18,,,,36,,,359.0,2600,60,TURF,0
6TA6,H1,,,,,,,,60,60,CONC,0
6TA7,17,,,,35,,,,1800,70,TURF,0
6TA8,H1,,,,,,,,2200,75,ASPH,0
6TE0,08,,,,26,,,,2500,150,TURF,0
6TE0,17,,,,35,,,,1350,100,TURF,0
6TE3,18,,,,36,,,,2700,60,TURF,0
6TE5,14,,,,32,,,,5440,65,TURF-F,0
