airport_ident,le_ident,le_lat,le_lon,le_heading_deg,he_ident,he_lat,he_lon,he_heading_deg,length_ft,width_ft,surface,closed
02FA,18,,,,36,,,,3585,150,TURF,0
02FD,1,30.9476,-86.636,,19,30.9571,-86.6349,,3443,150,Turf,0
02GA,08,,,,26,,,,1200,100,TURF,0
02GA,13,,,,31,,,,1500,100,TURF,0
02GE,09,,,,27,,,,3400,100,TURF,0
02HI,H1,,,,,,,,100,100,CONC,0
02IA,H1,,,,,,,,50,50,CONC,0
02ID,NE,,,,SW,,,,2000,100,TURF,0
02II,10,,,,28,,,,1100,100,TURF,0
02IN,09,,,,27,,,,1020,150,TURF,0
02IS,H1,,,,,,,,40,40,MATS,0
02KS,11,,,,29,,,,1650,100,TURF,0
02KS,18,,,,36,,,,1950,150,TURF,0
02KY,H1,,,,,,,,100,100,CONC,0
02LA,H1,,,,,,,,20,20,CONC,0
02LS,H1,,,,,,,,24,24,CONC,0
02MA,H1,,,,,,,,50,50,ASPH,0
02MD,9,,,,27,,,,2000,75,Turf,0
02ME,14,,,,32,,,,2400,60,TURF,0
02MI,09,,,,27,,,,2000,100,TURF,0
02MO,08,,,,26,,,,2100,25,TURF-G,0
02MS,12,,,,30,,,,2150,60,TURF-F,0
02NM,8,,,,26,,,,4247,30,Dirt,0
02NR,H1,,,,,,,,50,50,Turf,0
02NV,09,,,,27,,,,2200,50,TURF,0
02NY,H1,,,,,,,,25,25,TURF,0
02OH,09,,,,27,,,,2750,50,TURF,0
02OI,E,,,,W,,,,1500,75,TURF,0
02OR,E,,,,W,,,,2000,30,TURF,0
02P,H1,,,,,,,,100,100,TURF-G,0
02PA,H1,,,,,,,,60,50,TURF-GRVL,0
02PN,H1,,,,,,,,40,40,ASPH,0
02PR,06,,,,24,,,,2000,50,TURF,0
02RI,H1,,,,,,,,100,100,Turf,0
02SC,04,,,,22,,,,3600,150,TURF-G,0
02T,02,,,,20,,,,4050,60,DIRT-G,0
02TA,H1,,,,,,,,32,32,CONC,0
02TE,H1,,,,,,,,40,40,CONC,0
02TN,11,,,,29,,,,1600,120,TURF,0
02UT,07,,,,25,,,,4000,50,DIRT,0
02UT,16,,,,34,,,,4000,50,DIRT-P,0
02VA,18,,,,36,,,,3000,80,TURF,0
02WA,16,,,,34,,,,2650,50,TURF,0
02WI,18,,,,36,,,,2200,60,TURF,0
02WN,13,,,,31,,,,1500,30,DIRT,0
02XA,18,,,,36,,,,1950,50,Turf,0
03AL,H1,,,,,,,,50,50,CONC,0
03AR,H1,,,,,,,,117,117,CONC,0
03AZ,E,,,,W,,,,3600,60,DIRT,0
03CA,H1,,,,,,,,40,40,CONC,0
03FA,E,,,,W,,,,2000,200,TURF,0
03GA,10,,,,28,,,,1990,65,Turf,0
03GA,11,,,,29,,,,1955,60,Turf,0
03ID,11,,,,29,,,,1800,100,TURF,0
03II,N,,,,S,,,,1000,200,TURF,0
03IL,18,,,,36,,,,2600,105,TURF,0
03IS,H1,,,,,,,,40,40,CONC,0
03KS,H1,,,,,,,,25,25,GRAVEL,0
03KY,03,,,,21,,,,2300,80,TURF,0
03LA,H1,,,,,,,,60,60,TURF,0
03LS,H1,,,,,,,,40,40,CONC,0
03MA,12,,,,30,,,,1600,60,TURF,0
03MD,H1,,,,,,,,50,50,CONC,0
03ME,18,,,,36,,,,2400,90,TURF,0
03MI,H1,,,,,,,,20,20,TURF,0
03MN,17,,,,35,,,,1940,75,TURF,0
03MS,H1,,,,,,,,60,60,CONC,0
03MU,17,,,,35,,,,2400,24,ASPH,0
03N,7,,,,25,,,,2400,50,DIRT,0
03NC,09,,,,27,,,,3000,40,ASPH-G,0
03ND,17,,,,35,,,,2600,50,TURF,0
03NE,01,,,,19,,,,2200,200,TURF,0
03NH,H1,,,,,,,,12,80,ASPH,0
03NV,18,,,,36,,,,3200,30,TURF-P,0
03NY,16,,,,34,,,,2000,75,TURF,0
03OH,N,,,,S,,,,2100,60,TURF,0
03OH,NE,,,,SW,,,,2200,60,TURF,0
03OI,H1,,,,,,,,60,60,CONC,0
03OK,18,,,,36,,,,1200,50,TURF,0
03OL,18,,,,36,,,,1900,30,Turf,0
03OR,07,,,,25,,,,2950,60,CONC,0
03PA,H1,,,,,,,,130,80,ASPH,0
03PN,H1,,,,,,,,100,100,TURF,0
03PR,9,,,,27,,,,2926,65,Turf,0
03S,08,,,,26,,,,2115,100,TURF-G,0
03SC,H1,,,,,,,,40,40,CONC,0
03TE,12,,,,30,,,,3500,100,TURF,0
03TN,H1,,,,,,,,20,20,TURF,0
03TS,H1,,,,,,,,90,90,ASPH,0
03TT,18,,,,36,,,,3000,50,Turf,0
03TX,H1,,,,,,,,150,150,TURF,0
03UT,NE,,,,SW,,,,5000,35,GRAVEL,0
03UT,NW,,,,SE,,,,3250,35,GRAVEL,0
03WA,18,,,,36,,,,2800,60,GRAVEL,0
03WN,07,,,,25,,,,2200,60,GRVL,0
03WY,17,,,,35,,,,2065,100,Turf/Dirt,0
03XA,H1,,,,,,,,54,54,CON,0
03XS,04,,,,22,,,,3200,50,TURF-DIRT,0
03XS,15,,,,33,,,,1600,50,TURF,0
04AA,16,,,,34,,,,1300,100,Turf,0
04AA,5,,,,23,,,,825,68,Turf,0
04AL,H1,,,,,,,,100,100,ASPH,0
04AR,H1,,,,,,,,40,40,ASPH,0
04CA,8,34.5666,-117.683,90.0,26,34.5667,-117.6575,270.0,8000,150,ASP,0
04CL,08,33.0819,-116.4434,,26,33.0813,-116.4371,,1900,100,GRVL-DIRT,0
04CT,H1,,,,,,,,50,100,TURF,0
04FA,09,,,,27,,,,2620,212,TURF,0
04FL,09,,,,27,,,,3000,100,TURF,0
04GA,H1,,,,,,,,39,39,CON,0
04I,06,39.9092,-83.1928,,24,39.9131,-83.1847,,2382,120,TURF-G,0
04IA,18,,,,36,,,,2310,84,TURF-G,0
04ID,07,,,,25,,,,3000,25,DIRT-F,0
04IL,N,,,,S,,,,1700,70,TURF,0
04IS,09,,,,27,,,,2200,150,TURF,0
04KY,15,,,,33,,,,1700,30,ASPH,0
04LA,H1,,,,,,,,40,40,CONC,0
04LS,H1,,,,,,,,60,60,CONC-G,0
04MA,16,,,,34,,,,2100,300,TURF,0
04MD,H1,,,,,,,,50,50,ASPH,0
04ME,15,,,,33,,,,1950,120,TURF,0
04MI,18,,,,36,,,,2000,100,TURF-G,0
04MN,10,,,,28,,,,2500,150,TURF,0
04MS,17,32.9442,-90.8373,180.0,35,32.9349,-90.8373,,3400,100,ASPH-TURF,0
04MT,E,,,,W,,,,2100,100,TURF,0
04MT,N,,,,S,,,,1900,100,TURF,0
04NC,H1,,,,,,,,91,35,ASPH,0
04NE,N,,,,S,,,,2500,100,TURF,0
04NJ,08,,,,26,,,,3500,50,TURF,0
04NR,H1,,,,,,,,78,36,CON,0
04NV,02,35.7518,-115.668,33.5,20,35.7592,-115.662,,3240,45,ASPH,0
04NY,02,,,,20,,,,5200,50,TURF,0
04OG,H1,,,,,,,,50,100,CONC,0
04OK,H1,,,,,,,,45,45,CONC,0
04PA,H1,,,,,,,,100,100,CONC,0
04PN,H1,,,,,,,,70,70,CONC,0
04SC,H1,,,,,,,,50,50,CONC,0
04SD,H1,,,,H1,,,,46,46,CON,0
04TE,H1,,,,,,,,30,30,TURF,0
04TN,01,,,,19,,,,3000,40,ASPH,0
04TS,H1,,,,,,,,20,20,TURF,0
04TT,18,29.7195,-99.5454,,36,29.7067,-99.5459,,5134,55,ASP,0
04TX,12,,,,30,,,,2000,75,TURF,0
04UT,04,,,,22,,,,3700,50,DIRT,0
04V,10,38.1041,-106.186,118.0,28,38.0941,-106.163,298.0,7745,55,GRVL-G,0
04VA,H1,,,,,,,,50,50,CONC,0
04VG,01,,,,19,,,,3500,80,TURF-F,0
04VG,11,,,,29,,,,1800,70,TURF-F,0
04VT,06,,,,24,,,,1300,40,TURF,0
04W,06,46.0213,-92.9001,66.0,24,46.0244,-92.8902,246.0,2751,75,ASPH-G,0
